,bh,bh_id,bj,jg_id,jgmc,njdm_id,njmc,xqh_id,zyh,zyh_id,zymc
107,15151001,15151001,数学151,15,数学与信息科学学院,2015,2015,1,1513,1513,数学与应用数学(基础数学)(1513)
108,15151002,15151002,数学152,15,数学与信息科学学院,2015,2015,1,1511,1511,数学与应用数学(教师教育)(1511)
109,15151003,15151003,数学153,15,数学与信息科学学院,2015,2015,1,1511,1511,数学与应用数学(教师教育)(1511)
110,15151004,15151004,数学154,15,数学与信息科学学院,2015,2015,1,1514,1514,数学与应用数学(精算学)(1514)
111,15151005,15151005,数学155,15,数学与信息科学学院,2015,2015,1,1512,1512,数学与应用数学(金融数学)(1512)
112,15153001,15153001,信安151,15,数学与信息科学学院,2015,2015,1,1530,1530,信息安全(1530)
113,15152001,15152001,信计151,15,数学与信息科学学院,2015,2015,1,1520,1520,信息与计算科学(1520)
114,15165001,15165001,给排151,16,土木工程学院,2015,2015,1,1650,1650,给排水科学与工程(1650)
115,15165002,15165002,给排152,16,土木工程学院,2015,2015,1,1650,1650,给排水科学与工程(1650)
116,15166001,15166001,建能151,16,土木工程学院,2015,2015,1,1660,1660,建筑环境与能源应用工程(1660)
117,15166002,15166002,建能152,16,土木工程学院,2015,2015,1,1660,1660,建筑环境与能源应用工程(1660)
118,15162001,15162001,交通151,16,土木工程学院,2015,2015,1,1620,1620,交通工程(1620)
119,15161001,15161001,土木151,16,土木工程学院,2015,2015,1,1670,1670,土木工程(综合试点)(1670)
120,15161002,15161002,土木152,16,土木工程学院,2015,2015,1,1670,1670,土木工程(综合试点)(1670)
121,15161003,15161003,土木153,16,土木工程学院,2015,2015,1,1613,1613,土木工程(地下建筑工程)(1613)
122,15161004,15161004,土木154,16,土木工程学院,2015,2015,1,1612,1612,土木工程(道路与桥梁工程)(1612)
123,15161005,15161005,土木155,16,土木工程学院,2015,2015,1,1612,1612,土木工程(道路与桥梁工程)(1612)
124,15161006,15161006,土木156,16,土木工程学院,2015,2015,1,1611,1611,土木工程(建筑工程)(1611)
125,15161007,15161007,土木157,16,土木工程学院,2015,2015,1,1611,1611,土木工程(建筑工程)(1611)
126,15161008,15161008,土木158,16,土木工程学院,2015,2015,1,1614,1614,土木工程(结构分析)(1614)
127,15173001,15173001,社体151,17,体育学院,2015,2015,1,1730,1730,社会体育指导与管理(1730)
128,15173002,15173002,社体152,17,体育学院,2015,2015,1,1730,1730,社会体育指导与管理(1730)
129,15171001,15171001,体教151,17,体育学院,2015,2015,1,1710,1710,体育教育(1710)
130,15171002,15171002,体教152,17,体育学院,2015,2015,1,1710,1710,体育教育(1710)
131,15183001,15183001,法语151,18,外国语学院,2015,2015,1,1830,1830,法语(1830)
132,15182001,15182001,日语151,18,外国语学院,2015,2015,1,1820,1820,日语(1820)
133,15182002,15182002,日语152,18,外国语学院,2015,2015,1,1820,1820,日语(1820)
134,15181001,15181001,英语151,18,外国语学院,2015,2015,1,1814,1814,英语(教师教育)(1814)
135,15181002,15181002,英语152,18,外国语学院,2015,2015,1,1814,1814,英语(教师教育)(1814)
136,15181003,15181003,英语153,18,外国语学院,2015,2015,1,1814,1814,英语(教师教育)(1814)
137,15181004,15181004,英语154,18,外国语学院,2015,2015,1,1812,1812,英语(翻译)(1812)
138,15181005,15181005,英语155,18,外国语学院,2015,2015,1,1812,1812,英语(翻译)(1812)
139,15181006,15181006,英语156,18,外国语学院,2015,2015,1,1811,1811,英语(国际商务)(1811)
140,15181007,15181007,英语157,18,外国语学院,2015,2015,1,1811,1811,英语(国际商务)(1811)
141,15181008,15181008,英语158,18,外国语学院,2015,2015,1,1811,1811,英语(国际商务)(1811)
142,15181009,15181009,英语159,18,外国语学院,2015,2015,1,1811,1811,英语(国际商务)(1811)
143,15192001,15192001,电子151,19,物理与电子工程学院,2015,2015,1,1923,1923,电子信息科学与技术(物联网技术)(1923)
144,15194001,15194001,光电151,19,物理与电子工程学院,2015,2015,1,1940,1940,光电信息科学与工程(1940)
145,15194002,15194002,光电152,19,物理与电子工程学院,2015,2015,1,1940,1940,光电信息科学与工程(1940)
146,15191001,15191001,物理151,19,物理与电子工程学院,2015,2015,1,19A5,19A5,物理学(教师教育)(19A5)
147,15191002,15191002,物理152,19,物理与电子工程学院,2015,2015,1,19A5,19A5,物理学(教师教育)(19A5)
148,15195002,15195002,物联151,19,物理与电子工程学院,2015,2015,1,1950,1950,物联网工程(1950)
149,15195003,15195003,物联152,19,物理与电子工程学院,2015,2015,1,1950,1950,物联网工程(1950)
150,15203001,15203001,播音151,20,新闻与传播学院,2015,2015,1,2030,2030,播音与主持艺术(2030)
151,15203002,15203002,播音152,20,新闻与传播学院,2015,2015,1,2030,2030,播音与主持艺术(2030)
152,15203003,15203003,播音153,20,新闻与传播学院,2015,2015,1,2030,2030,播音与主持艺术(2030)
153,15204001,15204001,广编151,20,新闻与传播学院,2015,2015,1,2040,2040,广播电视编导(2040)
154,15204002,15204002,广编152,20,新闻与传播学院,2015,2015,1,2040,2040,广播电视编导(2040)
155,15204003,15204003,广编153,20,新闻与传播学院,2015,2015,1,2040,2040,广播电视编导(2040)
156,15204004,15204004,广编154,20,新闻与传播学院,2015,2015,1,2041,2041,广播电视编导(校企协同育人实验班)(2041)
157,15205001,15205001,广电151,20,新闻与传播学院,2015,2015,1,2050,2050,广播电视学(2050)
158,15205002,15205002,广电152,20,新闻与传播学院,2015,2015,1,2050,2050,广播电视学(2050)
159,15205003,6E55A4FAD16E54B6E0531F6411AC4266,广电153,20,新闻与传播学院,2015,2015,1,2050,2050,广播电视学(2050)
160,15202001,15202001,广告151,20,新闻与传播学院,2015,2015,1,2020,2020,广告学(2020)
161,15206001,15206001,媒体151,20,新闻与传播学院,2015,2015,1,2060,2060,网络与新媒体(2060)
162,15206002,15206002,媒体152,20,新闻与传播学院,2015,2015,1,2060,2060,网络与新媒体(2060)
163,15206003,15206003,媒体153,20,新闻与传播学院,2015,2015,1,2060,2060,网络与新媒体(2060)
164,15212001,15212001,舞蹈151,21,音乐舞蹈学院,2015,2015,1,2121,2121,舞蹈编导(教师教育)(2121)
165,15212002,15212002,舞蹈152,21,音乐舞蹈学院,2015,2015,1,2122,2122,舞蹈编导(编导)(2122)
166,15211001,15211001,音乐151,21,音乐舞蹈学院,2015,2015,1,2110,2110,音乐学(2110)
167,15211002,15211002,音乐152,21,音乐舞蹈学院,2015,2015,1,2110,2110,音乐学(2110)
168,15211003,15211003,音乐153,21,音乐舞蹈学院,2015,2015,1,2110,2110,音乐学(2110)
169,15631001,15631001,思教151,63,马克思主义学院(政治与公民教育学院),2015,2015,1,6310,6310,思想政治教育(6310)
170,15641001,15641001,国贸151,64,经济与统计学院,2015,2015,1,6410,6410,国际经济与贸易(6410)
171,15641002,15641002,国贸152,64,经济与统计学院,2015,2015,1,6410,6410,国际经济与贸易(6410)
172,15641003,15641003,国贸153,64,经济与统计学院,2015,2015,1,6410,6410,国际经济与贸易(6410)
173,15641004,15641004,国贸154,64,经济与统计学院,2015,2015,1,6410,6410,国际经济与贸易(6410)
174,15643001,15643001,会计151,64,经济与统计学院,2015,2015,1,6430,6430,会计学(6430)
175,15643002,15643002,会计152,64,经济与统计学院,2015,2015,1,6430,6430,会计学(6430)
176,15643003,15643003,会计153,64,经济与统计学院,2015,2015,1,6430,6430,会计学(6430)
177,15643004,15643004,会计154,64,经济与统计学院,2015,2015,1,6430,6430,会计学(6430)
178,15646001,15646001,金工151,64,经济与统计学院,2015,2015,1,6460,6460,金融工程(6460)
179,15646002,15646002,金工152,64,经济与统计学院,2015,2015,1,6460,6460,金融工程(6460)
180,15642001,15642001,金融151,64,经济与统计学院,2015,2015,1,6420,6420,金融学(6420)
181,15642002,15642002,金融152,64,经济与统计学院,2015,2015,1,6420,6420,金融学(6420)
182,15642003,15642003,金融153,64,经济与统计学院,2015,2015,1,6420,6420,金融学(6420)
183,15642004,15642004,金融154,64,经济与统计学院,2015,2015,1,6420,6420,金融学(6420)
184,15645001,15645001,经济151,64,经济与统计学院,2015,2015,1,6450,6450,经济学(6450)
185,15645002,15645002,经济152,64,经济与统计学院,2015,2015,1,6450,6450,经济学(6450)
186,15644001,15644001,统计151,64,经济与统计学院,2015,2015,1,6440,6440,统计学(6440)
187,15658001,15658001,电商151,65,工商管理学院,2015,2015,1,6580,6580,电子商务(6580)
188,15658002,15658002,电商152,65,工商管理学院,2015,2015,1,6580,6580,电子商务(6580)
189,15651001,15651001,房产151,65,工商管理学院,2015,2015,1,6510,6510,房地产开发与管理(6510)
190,15654001,15654001,工程151,65,工商管理学院,2015,2015,1,6541,6541,工程管理(投资与造价管理)(6541)
191,15654002,15654002,工程152,65,工商管理学院,2015,2015,1,6541,6541,工程管理(投资与造价管理)(6541)
192,15654003,15654003,工程153,65,工商管理学院,2015,2015,1,6543,6543,工程管理(物业管理)(6543)
193,15655001,15655001,工商151,65,工商管理学院,2015,2015,1,6550,6550,工商管理(6550)
194,15655002,15655002,工商152,65,工商管理学院,2015,2015,1,6550,6550,工商管理(6550)
195,15655003,15655003,工商153,65,工商管理学院,2015,2015,1,6550,6550,工商管理(6550)
196,15655004,15655004,工商154,65,工商管理学院,2015,2015,1,6550,6550,工商管理(6550)
197,15657001,15657001,人力151,65,工商管理学院,2015,2015,1,6570,6570,人力资源管理(6570)
198,15657002,15657002,人力152,65,工商管理学院,2015,2015,1,6570,6570,人力资源管理(6570)
199,15656001,15656001,市场151,65,工商管理学院,2015,2015,1,6560,6560,市场营销(6560)
200,15656002,15656002,市场152,65,工商管理学院,2015,2015,1,6560,6560,市场营销(6560)
201,15659001,15659001,物流151,65,工商管理学院,2015,2015,1,6590,6590,物流管理(6590)
202,15659002,15659002,物流152,65,工商管理学院,2015,2015,1,6590,6590,物流管理(6590)
203,15661003,15661003,工卫151,66,卫斯理安学院,2015,2015,1,6612,6612,工商管理(卫斯理安)(6612)
204,15661002,15661002,经卫151,66,卫斯理安学院,2015,2015,1,6611,6611,经济学(卫斯理安)(6611)
205,15661001,15661001,卫斯151,66,卫斯理安学院,2015,2015,1,,,
206,15061004,15061004,应卫151,66,卫斯理安学院,2015,2015,1,6613,6613,应用心理学(卫斯理安)(6613)
207,15300101,15300101,法学二151,30,第二专业,2015,2015,1,3001,3001,法学(二)(3001)
208,15301101,15301101,广告二151,30,第二专业,2015,2015,1,3011,3011,广告学（二）(3011)
209,15300901,15300901,会计二151,30,第二专业,2015,2015,1,3009,3009,会计学(二)(3009)
210,15301501,15301501,计机二151,30,第二专业,2015,2015,1,3015,3015,软件工程（二）(3015)
211,15301001,15301001,金融二151,30,第二专业,2015,2015,1,3010,3010,金融学(二)(3010)
212,15300701,15300701,英语二151,30,第二专业,2015,2015,1,3005,3005,英语(二)(3005)
213,15300702,15300702,英语二152,30,第二专业,2015,2015,1,3005,3005,英语(二)(3005)
214,15300703,15300703,英语二153,30,第二专业,2015,2015,1,3005,3005,英语(二)(3005)
215,15300801,15300801,应心二151,30,第二专业,2015,2015,1,3008,3008,应用心理学(二)(3008)
216,16015001,16015001,地规161,1,地理科学学院,2016,2016,1,151,151,人文地理与城乡规划(不动产)(0151)
217,16015002,16015002,地规162,1,地理科学学院,2016,2016,1,152,152,人文地理与城乡规划(区域物流)(0152)
218,16011001,16011001,地理161,1,地理科学学院,2016,2016,1,110,110,地理科学(0110)
219,16014001,16014001,地信161,1,地理科学学院,2016,2016,1,140,140,地理信息科学(0140)
220,16017001,16017001,土管161,1,地理科学学院,2016,2016,1,170,170,土地资源管理(0170)
221,16021201,16021201,法学161,2,法学院(律师学院)(含检察理论研究中心),2016,2016,1,212,212,法学(律师)(0212)
222,16021002,16021002,法学162,2,法学院(律师学院)(含检察理论研究中心),2016,2016,1,210,210,法学(0210)
223,16021003,16021003,法学163,2,法学院(律师学院)(含检察理论研究中心),2016,2016,1,210,210,法学(0210)
224,16021004,16021004,法学164,2,法学院(律师学院)(含检察理论研究中心),2016,2016,1,210,210,法学(0210)
225,16021005,16021005,法学165,2,法学院(律师学院)(含检察理论研究中心),2016,2016,1,210,210,法学(0210)
226,16021001,16021001,法学166,2,法学院(律师学院)(含检察理论研究中心),2016,2016,1,210,210,法学(0210)
227,16021006,16021006,法学167,2,法学院(律师学院)(含检察理论研究中心),2016,2016,1,210,210,法学(0210)
228,16034001,16034001,公共161,3,公共管理学院(含廉政研究中心),2016,2016,1,340,340,公共事业管理(0340)
229,16033401,16033401,公共高161,3,公共管理学院(含廉政研究中心),2016,2016,1,334,334,公共事业管理（高水平运动员）(0334)
230,16031001,16031001,社工161,3,公共管理学院(含廉政研究中心),2016,2016,1,310,310,社会工作(0310)
231,16031002,16031002,社工162,3,公共管理学院(含廉政研究中心),2016,2016,1,310,310,社会工作(0310)
232,16033001,16033001,行政161,3,公共管理学院(含廉政研究中心),2016,2016,1,330,330,行政管理(0330)
233,16033002,16033002,行政162,3,公共管理学院(含廉政研究中心),2016,2016,1,330,330,行政管理(0330)
234,16041001,16041001,环工161,4,环境科学与工程学院,2016,2016,1,410,410,环境工程(0410)
235,16041002,16041002,环工162,4,环境科学与工程学院,2016,2016,1,410,410,环境工程(0410)
236,16042001,16042001,环科161,4,环境科学与工程学院,2016,2016,1,420,420,环境科学(0420)
237,16042002,16042002,环科162,4,环境科学与工程学院,2016,2016,1,420,420,环境科学(0420)
238,16052001,16052001,化工161,5,化学化工学院,2016,2016,1,520,520,化学工程与工艺(0520)
239,16052002,16052002,化工162,5,化学化工学院,2016,2016,1,520,520,化学工程与工艺(0520)
240,16052003,16052003,化工163,5,化学化工学院,2016,2016,1,,,
241,16051001,16051001,化学161,5,化学化工学院,2016,2016,1,514,514,化学(教师教育)(0514)
242,16051002,16051002,化学162,5,化学化工学院,2016,2016,1,516,516,化学(精细化学品化学与技术)(0516)
243,16053001,16053001,食品161,5,化学化工学院,2016,2016,1,532,532,食品科学与工程(食品质量与安全)(0532)
244,16053002,16053002,食品162,5,化学化工学院,2016,2016,1,533,533,食品科学与工程(食品科学与工程)(0533)
245,16061001,16061001,计机161,6,计算机科学与网络工程学院,2016,2016,1,610,610,计算机科学与技术(0610)
246,16061002,16061002,计机162,6,计算机科学与网络工程学院,2016,2016,1,610,610,计算机科学与技术(0610)
247,16063001,16063001,软件161,6,计算机科学与网络工程学院,2016,2016,1,630,630,软件工程(0630)
248,16063002,16063002,软件162,6,计算机科学与网络工程学院,2016,2016,1,630,630,软件工程(0630)
249,16062001,16062001,网络161,6,计算机科学与网络工程学院,2016,2016,1,620,620,网络工程(0620)
250,16062002,16062002,网络162,6,计算机科学与网络工程学院,2016,2016,1,620,620,网络工程(0620)
251,16073001,16073001,电气161,7,机械与电气工程学院,2016,2016,1,733,733,电气工程及其自动化(电力系统自动化)(0733)
252,16073002,16073002,电气162,7,机械与电气工程学院,2016,2016,1,733,733,电气工程及其自动化(电力系统自动化)(0733)
253,16073003,16073003,电气163,7,机械与电气工程学院,2016,2016,1,734,734,电气工程及其自动化(工业自动化)(0734)
254,16073004,16073004,电气164,7,机械与电气工程学院,2016,2016,1,734,734,电气工程及其自动化(工业自动化)(0734)
255,16074001,16074001,电信161,7,机械与电气工程学院,2016,2016,1,741,741,电子信息工程(电子信息工程)(0741)
256,16074002,16074002,电信162,7,机械与电气工程学院,2016,2016,1,741,741,电子信息工程(电子信息工程)(0741)
257,16074003,6C4E9A2212BD56E1E0531F6411AC48C7,电信163,7,机械与电气工程学院,2016,2016,1,743,743,电子信息工程(音视频与艺术照明工程)(0743)
258,16075001,16075001,工业161,7,机械与电气工程学院,2016,2016,1,750,750,工业设计(0750)
259,16072001,16072001,机械161,7,机械与电气工程学院,2016,2016,1,720,720,机械设计制造及其自动化(0720)
260,16072002,16072002,机械162,7,机械与电气工程学院,2016,2016,1,720,720,机械设计制造及其自动化(0720)
261,16072003,16072003,机械163,7,机械与电气工程学院,2016,2016,1,720,720,机械设计制造及其自动化(0720)
262,16072004,16072004,机械164,7,机械与电气工程学院,2016,2016,1,720,720,机械设计制造及其自动化(0720)
263,16076001,16076001,通信161,7,机械与电气工程学院,2016,2016,1,760,760,通信工程(0760)
264,16082001,16082001,教技161,8,教育学院(师范学院),2016,2016,1,820,820,教育技术学(0820)
265,16081301,16081301,教育161,8,教育学院(师范学院),2016,2016,1,813,813,教育学(特殊儿童心理与教育)(0813)
266,16086001,16086001,小教161,8,教育学院(师范学院),2016,2016,1,860,860,小学教育(0860)
